latitude,longitude,Actual_Fire,Predicted_Fire,Fire_Probability,Risk_Level
19.70914639,83.33164927,0,0,0.15890509507680395,LOW
19.89365953,83.15845333,0,0,0.17884344015117354,LOW
20.89627057,85.28305891,0,0,0.08133011674342427,LOW
20.08122716,82.54076973,0,0,0.45875248781294775,MODERATE
19.10458147,82.82481893,1,1,0.9117701604198565,HIGH
18.07753902,81.91877865,1,1,0.8376272772804063,HIGH
18.07565282,82.08586562,1,1,0.7079466939431234,HIGH
19.64455631,83.68046245,1,1,0.6555726774457284,HIGH
18.37883156,82.29059187,1,1,0.9606600334892963,HIGH
18.78091762,82.63877632,0,0,0.0,
21.75344357,86.32627006,1,0,0.44079750076246516,MODERATE
19.88090651,83.0099608,0,1,0.637402787980425,MODERATE
20.50415506,84.11003887,0,0,0.4668052563439604,MODERATE
19.96705188,83.65962507,1,1,0.8812390997372028,HIGH
19.88827294,84.45400501,0,1,0.8635017681844059,HIGH
18.87344397,84.24352652,0,1,0.9176063165878114,HIGH
18.2780425,82.15476765,1,1,0.7032902664413594,HIGH
21.30994583,84.95445438,0,0,0.43060697866407704,MODERATE
21.13333422,84.46478266,0,1,0.7778006627036613,HIGH
19.5337967,84.11489037,1,1,0.9532478488071432,HIGH
21.95206084,86.05165632,0,0,0.39433191107969756,MODERATE
18.50055164,82.35706815,1,1,1.0,HIGH
19.20079104,83.77496864,0,0,0.15058851615437271,LOW
19.90282299,83.80568739,1,0,0.40861456388420414,MODERATE
20.08544993,83.62755522,1,1,0.9263083285699784,HIGH
20.11976717,86.28431884,0,0,0.016244338483488267,LOW
19.0801456,82.42021794,1,0,0.398690370806716,MODERATE
20.06730585,85.40406108,0,0,0.19421582150323097,LOW
20.42384665,83.07517962,0,0,0.28169327428899193,LOW
19.41979978,83.25637073,1,0,0.3185909310757744,MODERATE
19.80751416,84.97628614,0,0,0.0754135918961257,LOW
19.57026769,83.38141284,1,1,1.0,HIGH
18.82251212,83.18423585,1,1,1.0,HIGH
21.03443136,82.84934398,0,1,0.920801909113913,HIGH
18.25908686,82.12898513,1,1,0.9420150444139043,HIGH
20.12578696,82.99262382,0,0,0.24728284609367404,LOW
19.85152995,83.58946558,1,1,0.9119848883195765,HIGH
21.71131398,86.97503359,0,0,0.05599695780016873,LOW
22.41846498,86.2341049,0,0,0.4489886045274979,MODERATE
18.07071214,81.94267497,1,1,0.8946351647024804,HIGH
22.20053533,84.97852907,1,1,0.7229558826775282,HIGH
20.92573631,84.96092453,1,0,0.40910933436486063,MODERATE
19.08077433,83.95471946,0,1,0.9509395783367965,HIGH
21.16424025,84.62081998,0,0,0.24174394498336532,LOW
21.21660793,85.3772931,0,0,0.3702889560294046,MODERATE
19.06442727,84.22358542,0,1,0.7086270729040802,HIGH
22.03506701,84.49020399,0,0,0.2506467993040642,LOW
21.2920693,84.90118596,0,0,0.08684202072437365,LOW
19.34856119,82.2124372,0,0,0.30194126768066254,MODERATE
19.19441452,82.88644371,1,1,0.7999127877934566,HIGH
21.57512857,84.53485297,0,1,0.8304735020601656,HIGH
19.29035208,83.19896872,1,1,0.9000369381652894,HIGH
20.55643802,85.68118975,0,0,0.39940142933751216,MODERATE
19.84299523,82.99388129,0,0,0.48577389694644946,MODERATE
21.59955999,84.08353843,1,1,0.8043478790650342,HIGH
19.64662534,83.7702955,1,1,0.9381117089356265,HIGH
19.88288189,83.55874237,1,1,0.6593128144163585,HIGH
20.02867666,83.92992686,0,0,0.34407308151657134,MODERATE
19.45537449,85.12459584,0,0,0.11150157896708286,LOW
20.2911661,84.01212147,0,0,0.46533942510895443,MODERATE
18.74750112,83.14812159,1,1,0.9883032082844416,HIGH
19.46453795,84.2503534,0,0,0.3845998385912381,MODERATE
20.01924566,84.43693557,0,1,0.9614756889138238,HIGH
21.98943257,83.53529642,1,0,0.4282477665462112,MODERATE
20.15012919,82.73346087,0,1,0.9834114604034105,HIGH
18.75863995,83.0107679,0,1,0.6318520922488297,MODERATE
18.56585964,82.33209272,1,1,0.5509509351139381,MODERATE
20.60341911,83.43998313,0,0,0.23404454393044838,LOW
20.90309745,84.23274887,0,0,0.47291536810509804,MODERATE
19.79295966,83.3282336,0,0,0.4003649516185741,MODERATE
21.83599936,84.71038102,0,1,0.5674438668397502,MODERATE
