latitude,longitude,label,temp_c,rh,wind_ms,rain_mm,NDVI,Elevation,Slope,Month,DayOfYear
21.41790067,85.50103761,1,31.672,48.346,0.518,1.039,0.572,673,11.923,4,118
22.09733836,85.19666383,1,31.825,39.122,1.35,0.021,0.516,560,10.899,4,119
19.46023045,83.20852012,1,27.751,66.331,1.025,1.773,0.542,899,37.169,5,128
19.82362043,83.69457997,1,31.645,36.462,1.168,0,0.751,523,21.651,5,134
19.82901149,83.70414028,1,31.645,36.462,1.168,0,0.692,554,9.529,5,134
21.41625972,85.47553155,1,32.886,39.011,0.541,0.225,0.753,533,17.725,5,134
21.70833976,85.17101954,1,32.715,34.23,0.188,0.001,0.502,629,11.458,5,141
19.29159171,84.63952591,1,32.362,69.483,0.901,0.052,0.695,488,17.257,6,161
19.84163074,83.62428224,1,18.76,61.185,0.914,0.001,0.704,530,7.401,1,14
19.52519064,84.08009155,1,27.521,41.041,0.555,0.034,0.454,497,26.866,3,73
19.21559971,84.11707087,1,26.495,38.986,1.413,0.001,0.491,532,26.655,3,74
19.63645859,83.14880383,1,26.046,46.427,0.829,0.075,0.581,818,29.165,3,78
19.2074128,82.87837273,1,26.748,34.193,0.359,0.001,0.443,965,22.639,3,82
18.50361059,82.44303962,1,26.665,47.653,0.843,0.012,0.519,706,30.193,3,84
18.05688001,82.18866128,1,25.942,69.529,0.825,3.458,0.59,662,3.83,3,88
19.19911887,82.81117854,1,26.514,52.456,1.214,0.434,0.549,768,18.771,3,88
18.05177879,82.24098883,1,28.043,61.156,0.836,0.061,0.479,764,33.665,4,94
18.80254872,83.13860141,1,27.017,49.373,1.195,0.007,0.572,739,19.192,4,94
19.98635979,83.51016047,1,30.672,36.963,1.039,0.001,0.464,428,8.812,4,94
18.50447119,82.36488495,1,27.708,48.275,1.533,0.055,0.49,768,14.11,4,94
18.96301839,82.69627196,1,28.951,41.362,2.4,0.201,0.489,804,17.67,4,94
19.85938243,83.63918455,1,26.994,63.376,2.124,3.264,0.379,806,15.58,4,97
19.17087939,82.87906835,1,25.752,59.365,0.68,1.073,0.612,963,28.373,4,99
18.68207719,84.17321987,1,29.017,69.087,1.608,1.054,0.575,358,16.112,4,100
20.26857183,83.7042473,1,29.239,48.7,0.851,0.174,0.534,586,13.414,4,100
19.05727041,84.3453278,1,27.547,69.673,1.867,1.103,0.653,797,13.26,4,111
19.41184029,83.19864767,1,28.378,59.967,1.092,0.061,0.677,547,28.746,4,120
19.72373211,83.13861033,1,30.137,50.015,1.578,0.214,0.711,813,11.969,5,121
20.24707005,83.6735776,1,30.314,52.437,1.797,0.058,0.6,675,12.006,5,121
19.60376892,82.98956488,1,27.498,54.051,1.155,3.393,0.524,840,13.556,5,126
21.41415948,85.47602205,1,30.794,55.863,0.931,0.669,0.612,606,23.334,5,132
19.81892054,83.64969466,1,29.994,56.299,0.813,0.147,0.676,702,18.892,5,132
19.81399769,83.65294534,1,29.649,56.698,0.855,0.099,0.557,693,22.692,5,132
19.81403783,83.65721716,1,29.649,56.698,0.855,0.099,0.743,760,31.784,5,132
21.72753173,85.17298154,1,26.627,72.871,1.77,0.597,0.606,625,14.813,5,137
19.89092165,83.69565015,1,32.561,41.539,0.275,0.012,0.513,856,16.928,5,142
19.34075776,83.3091977,1,32.612,47.247,0.626,0.005,0.628,742,30.992,5,146
19.53660148,83.18794136,1,31.429,52.171,1.22,0.76,0.52,591,21.307,5,147
19.98292182,83.59845513,1,32.057,49.506,1.866,0.025,0.477,706,29.347,5,148
19.70557911,83.79950707,1,26.909,31.276,1.415,0.003,0.485,430,34.053,3,62
19.55462962,84.34143054,1,25.055,36.382,0.916,0.003,0.461,712,13.281,3,62
19.16658081,83.2085112,1,25.094,51.78,1.004,0.029,0.367,799,9.246,3,77
19.18040848,83.99614005,1,28.823,48.751,0.601,0.001,0.478,364,19.299,3,83
19.11469025,84.35595829,1,27.054,62.924,1.749,0.002,0.614,621,30.058,3,84
19.61220108,83.40412304,1,30.934,39.11,0.667,0.012,0.531,871,14.11,3,89
19.73848728,83.22382375,1,31.758,29.721,1.063,0.012,0.426,463,15.8,3,89
19.69132782,83.16593124,1,29.925,37.559,1.625,4.318,0.359,864,23.634,4,92
20.19117968,83.65966966,1,30.439,41.266,1.843,0.074,0.442,536,3.834,4,94
20.05737097,83.62596778,1,32.811,32.734,0.416,0,0.467,385,8.102,4,99
20.05779904,83.63102886,1,32.811,32.734,0.416,0,0.533,523,17.431,4,99
19.66130916,83.95139297,1,28.658,53.596,0.841,0,0.636,942,18.464,4,99
20.00589065,83.85003761,1,31.068,31.383,0.961,0.001,0.494,582,14.783,4,100
17.87414159,81.94291576,1,28.45,47.053,0.928,0.002,0.513,660,4.948,4,103
19.45998074,83.19181632,1,28.78,41.407,1.791,0.002,0.497,882,25.549,4,104
19.45940998,83.192124,1,28.78,41.407,1.791,0.002,0.484,902,40.254,4,104
19.2346802,84.35848215,1,27.091,60.815,1.544,0.002,0.577,1028,21.12,4,104
